Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
83,40,80,1118,FALSE,1.5,0,11/22/2024 10:44,FALSE,0,1,95,33.1,3142,,1.5,5,11/22/2024 11:37,FALSE,0,1,Demo,95,2,14,GF,40/80,1019,1019,Perdix 2
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar,
0,1.6,0,1,0.24,0.21,0,0,0,1,0,29,FALSE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
5,1.7,0,1,0.25,0.21,0,0,0,1,0,29,FALSE,TRUE,0,0,0,0,0,1.49,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
10,1.8,0,1,0.25,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.49,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
15,2.1,0,1,0.25,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.49,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
20,2.7,0,1,0.27,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
25,3.3,0,1,0.28,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
30,3.4,0,1,0.28,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
35,3.9,0,1,0.29,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
40,4,0,1,0.29,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
45,4.5,0,1,0.3,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
50,4.6,0,1,0.31,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
55,4.6,0,1,0.31,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
60,4.5,0,1,0.3,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
65,4.3,0,1,0.3,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.49,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
70,4.1,0,1,0.3,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.49,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
75,4.1,0,1,0.3,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
80,4.4,0,1,0.3,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
85,4.6,0,1,0.31,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
90,4.9,0,1,0.31,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
95,5.8,0,1,0.33,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
100,6.8,0,1,0.35,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
105,7.5,0,1,0.36,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
110,8.3,0,1,0.38,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
115,9.3,0,1,0.4,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
120,10.1,0,1,0.42,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
125,11.1,0,2,0.44,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
130,12.1,0,2,0.46,0.21,0,0,99,1,0,29,TRUE,TRUE,0,0,0,0,0,1.49,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
135,12.8,0,2,0.48,0.21,0,0,88,1,0,29,TRUE,TRUE,0,0,0,0,0,1.49,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
140,13.4,0,2,0.49,0.21,0,0,88,1,0,29,TRUE,TRUE,0,0,0,0,0,1.49,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
145,14.3,0,2,0.51,0.21,0,0,69,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
150,15.5,0,2,0.53,0.21,0,0,57,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
155,16.6,0,2,0.55,0.21,0,0,47,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
160,17.5,0,2,0.57,0.21,0,0,47,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
165,18.8,0,2,0.6,0.21,0,0,47,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
170,20.1,0,2,0.63,0.21,0,0,34,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
175,21.3,0,2,0.65,0.21,0,0,29,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
180,22.3,0,3,0.67,0.21,0,0,25,1,0,29,TRUE,TRUE,0,0,0,0,0,1.49,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
185,23.3,0,3,0.69,0.21,0,0,25,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
190,24.6,0,3,0.72,0.21,0,0,20,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
195,25.7,0,3,0.74,0.21,0,0,17,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
200,27,0,3,0.77,0.21,0,0,15,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
205,27.5,0,3,0.78,0.21,0,0,15,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
210,28,0,3,0.79,0.21,0,0,13,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
215,28.5,0,3,0.8,0.21,0,0,12,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
220,28.9,0,3,0.81,0.21,0,0,12,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
225,29.2,0,3,0.82,0.21,0,0,11,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
230,29.6,0,3,0.82,0.21,0,0,11,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
235,30,0,3,0.83,0.21,0,0,10,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
240,30,0,3,0.83,0.21,0,0,10,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
245,30,0,3,0.83,0.21,0,0,10,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
250,31,0,3,0.85,0.21,0,0,10,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
255,32.2,0,3,0.88,0.21,0,0,10,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
260,32.2,0,4,0.88,0.21,0,0,8,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
265,32.5,0,4,0.89,0.21,0,0,8,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
270,32.3,0,4,0.88,0.21,0,0,8,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
